country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh
IND,India,INDRA GANDHI STPP,IND0000154,1500,28.4849,76.3754,Coal,Oil,,,2011,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,0.035,6587.527,5418.767,5109.497,7290.568,6966.604,,Central Electricity Authority,
IND,India,ITPCL TPP,IND0000152,1200,11.5214,79.7515,Coal,Oil,,,2015,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,0.045,,1057.8403,4652.2795,5288.2,5109.03,,Central Electricity Authority,
IND,India,Ingaleshwar Wind Farm,WRI1026661,100.8,16.6208,76.0223,Wind,,,,,Fortune Five Hydel Projects Limited,CDM,https://cdm.unfccc.int/Projects/DB/DNV-CUK1351166669.28/view,WRI,,,0.006,,,,,,,,
IND,India,Isanpur Solar Power Plant,WRI1026147,1,22.4809,72.5235,Solar,,,,,Harsha Engineers Limited,Harsha Engineers Limited,http://harshaengineers.com,Industry About,,,,,,,,,,,
IND,India,Itnal Solar Power Plant,WRI1026148,3,16.4018,74.6641,Solar,,,,,Karnataka Power Corporation Limited,Karnataka Power Corporation Limited,http://karnatakapower.com,Industry About,,,0.031,,,,,,,,
IND,India,J.SAGAR,IND0000155,99,25.0369,75.6778,Hydro,,,,1973,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,0.109,294.68915,347.60325,306.01225,259.7945,245.765,,Central Electricity Authority,
IND,India,JAISALMER GODAWARI,WRI1019903,50,27.601,72.2242,Biomass,,,,,Godawari Energy ltd,Godawari Energy ltd,http://hiragroup.com/companies/godawari-green-energy-limited/,WRI,,,,,,,,,,,
IND,India,JALDHAKA I&II,IND0000156,36,27.0297,88.8747,Hydro,,,,1971,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,,108.8729,172.50315,204.4327,144.4541,196.0548,,Central Electricity Authority,
IND,India,JALLIPPA KAPURDI TPP,IND0000157,1080,25.8888,71.3236,Coal,Oil,,,2011,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,0.007,6555.64,6396.37,5826.29,6140.08,6016.72,,Central Electricity Authority,
IND,India,JAYKAYPURAM PLANT,WRI1019889,66,24.6963,73.0017,Coal,,,,,Jk Cement ltd,Jk Cement ltd,http://www.jklakshmicement.com/,WRI,,,0.045,,,,,,,,
IND,India,JAYPEE BELA CEMENT,WRI1019999,63.5,24.5286,81.1698,Coal,,,,,Jaypee Ltd jccl),Jaypee Ltd jccl),http://www.jalindia.com/subsidiaries.html,WRI,,,0.028,,,,,,,,
IND,India,JAYPEE REWA CEMENT,WRI1020000,54.5,24.565,81.1748,Coal,,,,,Jaypee Ltd jccl),Jaypee Ltd jccl),http://www.jalindia.com/subsidiaries.html,WRI,,,-0.072,,,,,,,,
