country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh
AUS,Australia,Hallett 2 Hallet Hill Wind Farm,AUS0000455,71.4,-33.5226,138.8552,Wind,,,,1995,ANZ Energy Infrastructure Trust,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,256.2275,268.6691667,238.4766667,249.1591667,224.5772222,250.4069444,,Australia Clean Energy Regulator,
AUS,Australia,Halls Creek,AUS0000368,3.69,-18.2328,127.6619,Gas,,,,2013,Energy Developments Ltd,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,12.08916667,11.52527778,11.45472222,11.9675,11.46527778,11.47027778,,Australia Clean Energy Regulator,
AUS,Australia,Hamilton Solar Farm,AUS0000530,69,-20.5048,147.7671,Solar,,,,2005,Edify Energy,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,,,,,
AUS,Australia,Haughton River Solar Farm,AUS0000592,500,-19.733,147.0483,Solar,,,,2007,SPIC,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,,,,,
AUS,Australia,Hayman Solar Farm,AUS0000532,180,-20.4877,147.7449,Solar,,,,2010,Edify Energy Blackrock,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,,,,,
AUS,Australia,Hazelwood,AUS0000087,1600,-38.2731,146.3923,Coal,,,,,Hazelwood Power,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,11483.09806,11087.42889,10969.4225,10325.77833,7700.2075,,,Australia Clean Energy Regulator,
AUS,Australia,Henderson,AUS0000355,3.2,-32.165,115.8008,Waste,,,,2017,Waste Gas Resources,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,,,,,
AUS,Australia,Hermannsburg,AUS0000471,0.19,-23.9374,132.7719,Solar,,,,1997,Solar Systems,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,,,,,
AUS,Australia,Highbury,AUS0000343,2,-34.849,138.7203,Waste,,,,1997,EDL LFG SA Pty Ltd,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,1.202777778,,,,Australia Clean Energy Regulator,
AUS,Australia,Hobart,AUS0000419,1,-42.8883,147.2888,Waste,,,,,AGL Energy Pty Ltd,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,6.362777778,5.271944444,7.603888889,3.911944444,2.471666667,6.230555556,,Australia Clean Energy Regulator,
AUS,Australia,Hopetoun Diesel Backup,AUS0000412,1.3,-33.905,120.1299,Oil,,,,,Verve Energy,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,,,,,
AUS,Australia,Hopetoun Wind Turbines,AUS0000413,1.2,-33.9078,120.1297,Wind,,,,1983,Verve Energy,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,,,,,
AUS,Australia,Hume,AUS0000076,70,-36.1066,147.0326,Hydro,,,,2000,Eraring Energy,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,238.9494444,0.349722222,209.7363889,181.6572222,255.6769444,203.3719444,,Australia Clean Energy Regulator,
AUS,Australia,Hunter,AUS0000277,29,-32.836,151.4505,Oil,,,,2000,Infratil Energy Australia Pty Ltd,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,,,,,
AUS,Australia,Hunter Valley,AUS0000278,50,-32.3893,150.9664,Gas,,,,,Macquarie Generation,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,0.364722222,0.187777778,0.316388889,1.132777778,0.641944444,0.853611111,,Australia Clean Energy Regulator,
AUS,Australia,Inkerman Sugar Mill,AUS0000145,10.5,-19.6422,147.4016,Biomass,,,,2007,CSR,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,,,,,
AUS,Australia,Invicta Sugar Mill,AUS0000056,150,-19.5167,147.1065,Biomass,,,,,CSR,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,,,,,
AUS,Australia,Isis Central Sugar Mill,AUS0000159,25,-25.194,152.2086,Biomass,,,,1981,AGL Energy Pty Ltd,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,,,,,
AUS,Australia,Jacks Gully,AUS0000039,2.3,-34.0734,150.7427,Waste,,,,2011,Energy Developments LFG (NSW) Pty Ltd,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,16.41527778,15.97805556,15.65722222,14.52444444,13.16888889,12.83722222,,Australia Clean Energy Regulator,
AUS,Australia,Jeeralang A,AUS0000088,204,-38.2753,146.4263,Gas,,,,,Industry Funds Management Nominees Ltd Ecogen Holdings,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,,,,,
AUS,Australia,Jeeralang B,AUS0000089,228,-38.2746,146.4249,Gas,,,,,Industry Funds Management Nominees Ltd,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,,,,,
AUS,Australia,Jindabyne Dam Mini Hydro,AUS0000021,1.1,-36.4351,148.6333,Hydro,,,,,Snowy Hydro Ltd,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,,,,,
